Tuned_Buffer,Capacity,Simulation_run,Buffer1,Buffer2,Buffer3,Buffer4,Buffer5,Throughput
3,19,7,5,5,19,5,5,11.375
3,19,8,5,5,19,5,5,11.375
3,19,9,5,5,19,5,5,11.25
3,19,10,5,5,19,5,5,11.225
3,20,1,5,5,20,5,5,11.0
3,20,2,5,5,20,5,5,11.525
3,20,3,5,5,20,5,5,10.975
3,20,4,5,5,20,5,5,11.5
3,20,5,5,5,20,5,5,11.225
3,20,6,5,5,20,5,5,11.35
3,20,7,5,5,20,5,5,11.325
3,20,8,5,5,20,5,5,11.65
3,20,9,5,5,20,5,5,11.525
3,20,10,5,5,20,5,5,11.4
4,1,1,5,5,5,1,5,9.3
4,1,2,5,5,5,1,5,9.375
4,1,3,5,5,5,1,5,9.725
4,1,4,5,5,5,1,5,9.625
4,1,5,5,5,5,1,5,9.925
4,1,6,5,5,5,1,5,9.875
4,1,7,5,5,5,1,5,9.875
4,1,8,5,5,5,1,5,9.55
4,1,9,5,5,5,1,5,9.625
4,1,10,5,5,5,1,5,9.975
4,2,1,5,5,5,2,5,10.75
4,2,2,5,5,5,2,5,10.375
4,2,3,5,5,5,2,5,10.875
4,2,4,5,5,5,2,5,10.225
4,2,5,5,5,5,2,5,10.875
4,2,6,5,5,5,2,5,11.0
4,2,7,5,5,5,2,5,10.55
4,2,8,5,5,5,2,5,10.625
4,2,9,5,5,5,2,5,10.375
4,2,10,5,5,5,2,5,11.225
4,3,1,5,5,5,3,5,11.0
4,3,2,5,5,5,3,5,10.95
4,3,3,5,5,5,3,5,11.05
4,3,4,5,5,5,3,5,11.35
4,3,5,5,5,5,3,5,11.125
4,3,6,5,5,5,3,5,11.225
4,3,7,5,5,5,3,5,11.05
4,3,8,5,5,5,3,5,11.35
4,3,9,5,5,5,3,5,11.2
4,3,10,5,5,5,3,5,10.95
4,4,1,5,5,5,4,5,11.275
4,4,2,5,5,5,4,5,11.325
4,4,3,5,5,5,4,5,11.35
4,4,4,5,5,5,4,5,11.625
4,4,5,5,5,5,4,5,11.45
4,4,6,5,5,5,4,5,11.275
4,4,7,5,5,5,4,5,11.4
4,4,8,5,5,5,4,5,11.25
4,4,9,5,5,5,4,5,11.275
4,4,10,5,5,5,4,5,11.525
4,5,1,5,5,5,5,5,11.05
4,5,2,5,5,5,5,5,11.05
4,5,3,5,5,5,5,5,11.375
4,5,4,5,5,5,5,5,11.25
4,5,5,5,5,5,5,5,11.375
4,5,6,5,5,5,5,5,11.125
4,5,7,5,5,5,5,5,11.575
4,5,8,5,5,5,5,5,11.5
4,5,9,5,5,5,5,5,11.25
4,5,10,5,5,5,5,5,11.35
4,6,1,5,5,5,6,5,11.4
4,6,2,5,5,5,6,5,11.4
4,6,3,5,5,5,6,5,11.3
4,6,4,5,5,5,6,5,11.325
4,6,5,5,5,5,6,5,11.05
4,6,6,5,5,5,6,5,11.55
4,6,7,5,5,5,6,5,11.125
4,6,8,5,5,5,6,5,11.35
4,6,9,5,5,5,6,5,11.35
4,6,10,5,5,5,6,5,11.35
4,7,1,5,5,5,7,5,11.25
4,7,2,5,5,5,7,5,11.325
4,7,3,5,5,5,7,5,11.15
4,7,4,5,5,5,7,5,11.375
4,7,5,5,5,5,7,5,11.275
4,7,6,5,5,5,7,5,11.275
4,7,7,5,5,5,7,5,11.2
4,7,8,5,5,5,7,5,11.375
4,7,9,5,5,5,7,5,11.5
4,7,10,5,5,5,7,5,11.075
4,8,1,5,5,5,8,5,11.225
4,8,2,5,5,5,8,5,11.4
4,8,3,5,5,5,8,5,11.25
4,8,4,5,5,5,8,5,11.375
4,8,5,5,5,5,8,5,11.375
4,8,6,5,5,5,8,5,11.575
4,8,7,5,5,5,8,5,11.35
4,8,8,5,5,5,8,5,11.0
4,8,9,5,5,5,8,5,11.375
4,8,10,5,5,5,8,5,11.05
4,9,1,5,5,5,9,5,11.375
4,9,2,5,5,5,9,5,11.175
4,9,3,5,5,5,9,5,11.225
4,9,4,5,5,5,9,5,11.65
4,9,5,5,5,5,9,5,11.525
